nct_id,sponsor,start_date,completion_date,study_type,baseline_population,brief_title,official_title,overall_status,phase,enrollment,number_of_arms,interventions
NCT03248882,Pfizer,22-AUG-17,27-MAR-19,Interventional,All randomized participants who received at least 1 dose of randomized study treatment.,"Phase 2a, Dose-ranging Study With PF-05221304 in Nonalcoholic Fatty Liver Disease (NAFLD)","A PHASE 2A, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, DOSE-RANGING, PARALLEL GROUP STUDY TO EVALUATE SAFETY, TOLERABILITY, AND PHARMACODYNAMICS OF PF-05221304 ADMINISTERED DAILY FOR 16-WEEKS TO ADULT SUBJECTS WITH NONALCOHOLIC FATTY LIVER DISEASE",Completed,Phase 2,305,5,Placebo|PF-05221304
NCT03256526,Pfizer,27-SEP-17,27-APR-18,Interventional,The baseline analysis population included all eligible participants who received the study medication.,6-week Safety and PD Study in Adults With NAFLD,"A PHASE 2A, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, 3-ARM, PARALLEL- GROUP STUDY TO EVALUATE THE SAFETY, TOLERABILITY, AND PHARMACODYNAMICS OF PF-06835919 ADMINISTERED ONCE DAILY FOR 6 WEEKS IN ADULTS WITH NONALCOHOLIC FATTY LIVER DISEASE",Completed,Phase 2,53,3,Placebo|PF-06835919 Low Dose|PF-06835919 High Dose
NCT03261739,"Bird Rock Bio, Inc.|Perspectum",28-AUG-17,24-AUG-18,Interventional,,"Safety Tolerability, and PK of RYI-018 After Repeat Dosing in Subjects With Non-Alcoholic Fatty Liver Disease (NAFLD)","An Adaptive Design Study for the Assessment of the Safety, Tolerability, and Pharmacokinetics of RYI-018 After Repeat Dosing in Subjects With Non-Alcoholic Fatty Liver Disease (NAFLD)",Completed,Phase 1,84,2,RYI-018|Placebo
NCT03289897,Perspectum,04-SEP-17,31-DEC-20,Interventional,,Non-invasive Rapid Assessment of NAFLD Using Magnetic Resonance Imaging With LiverMultiScan,Non-invasive Rapid Assessment of Non-alcoholic Fatty Liver Disease (NAFLD) Using Magnetic Resonance Imaging With LiverMultiScan (RADIcAL1),Completed,Not Applicable,801,2,LiverMultiScan
NCT03291249,"Tiziana Life Sciences, PLC",01-DEC-17,01-JUN-19,Interventional,,"Assessment of the Safety of Foralumab, an Oral Anti-CD3 Antibody, in Patients With NASH and T2DM","A Randomized, Placebo-controlled ,Double-blind, Phase IIa Assessment of the Safety of Foralumab, an Oral Anti-CD3 Antibody, in Patients With Nonalcoholic Steatohepatitis (NASH) and Type 2 Diabetes Mellitus (T2DM)",Withdrawn,Phase 2,0,4,Foralumab|placebo|Omeprazole 20mg
NCT03329885,Bristol-Myers Squibb,02-NOV-17,26-JUN-18,Interventional,"All demographic characteristics for Part A are summarized. Due to early termination of the study, only 1 participant was enrolled in the placebo group and 1 participant in the BMS-986251 group in Part B. Part B demographics data is not reported for privacy reasons.","A Study of Experimental Medication BMS-986251, Taken by Mouth, in Healthy Participants and Patients With Average to Very Serious Psoriasis","A Double-Blind Randomized Placebo-Controlled Single and Multiple Ascending Doses Study of the Safety and Tolerability, Pharmacokinetics (Including Bioavailability Comparison and Food Effect) and Pharmacodynamics of Oral BMS-986251 Administration in Healthy Subjects, With Efficacy Assessment of Multiple Doses in Patients With Moderate-to-Severe Psoriasis",Terminated,Phase 1/Phase 2,38,3,BMS-986251|Placebo
NCT03357380,Novo Nordisk A/S,28-NOV-17,20-MAR-20,Interventional,,A Study on How Semaglutide Works on Early Stages of Scar Tissue in the Liver Assessed by Pictures of the Liver,A Trial Investigating the Effect of Subcutaneous Semaglutide on Liver Fibrosis Assessed by Magnetic Resonance Elastography in Subjects With Non-alcoholic Fatty Liver Disease,Completed,Phase 1,67,2,Semaglutide|Placebo
NCT03400163,Bristol-Myers Squibb,08-MAY-15,19-JUN-17,Interventional,,A Sub-study of BMS-986036 in Subjects With Non-Alcoholic Steatohepatitis (NASH),"A Randomized, Double-Blind, Placebo-Controlled, Parallel Group, Multiple Dose Sub-study to Evaluate the Safety, Pharmacokinetics and Pharmacodynamic Effects of BMS-986036 in Adults With Non-alcoholic Steatohepatitis",Completed,Phase 2,3,2,BMS-986036|Placebo
NCT03439189,Exalenz Bioscience LTD.,28-AUG-16,13-MAY-19,Interventional,"Diagnostic endpoints used screening measurements taken prior to study drug administration, therefore no treatment effect was relevant. In addition, for the event prediction endpoints, the treatment covariate was tested for significance, and was found to be non-significant, thus removed from the final predicting model. As such, arms were combined.",Companion Protocol for Methacetin Breath Test (MBT) in Conatus Protocol IDN-6556-14,"Companion Protocol for the ¹³C-Methacetin Breath Test Using the BreathID® MCS System for Conatus Phase 2 Study of Emricasan, an Oral Caspase Inhibitor, Under Protocol IDN-6556-14 (NCT02960204)",Completed,,343,4,Methacetin Breath Test|Emricasan|Placebo oral capsule
NCT03468556,Sinew Pharma Inc.,01-DEC-22,30-DEC-23,Interventional,,"A Randomized, Double-Blind, Placebo Controlled Study to Assess the Efficacy and Safety of SNP-610 for the Treatment of Patients With Non-alcoholic Steatohepatitis","A Randomized, Double-Blind, Placebo Controlled Study to Assess the Efficacy and Safety of SNP-610 for the Treatment of Patients With Non-alcoholic Steatohepatitis",Not yet recruiting,Phase 2,80,2,SNP-610|Placebo Oral Tablet
NCT03371355,"Ionis Pharmaceuticals, Inc.|Akcea Therapeutics",21-DEC-17,24-FEB-20,Interventional,Full Analysis Set (FAS) population included all participants who were randomized and received at least 1 dose of study drug.,"Study of ISIS 703802 in Participants With Hypertriglyceridemia, Type 2 Diabetes Mellitus, and Nonalcoholic Fatty Liver Disease","A Randomized, Double-Blind, Placebo-Controlled, Phase 2 Dose Finding Study of ISIS 703802 (AKCEA-ANGPTL3-LRx) Administered Subcutaneously to Subjects With Hypertriglyceridemia, Type 2 Diabetes Mellitus (T2DM), and Nonalcoholic Fatty Liver Disease (NAFLD)",Completed,Phase 2,105,4,Placebo|ISIS 703802 40 mg|ISIS 703802 80 mg|ISIS 703802 20 mg
NCT03479125,Conatus Pharmaceuticals Inc.,27-FEB-18,30-SEP-19,Observational,,Post-Treatment Follow-up Study for Liver Disease Subjects With or Without Cirrhosis After Receiving Emricasan or Placebo,Protocol IDN-6556-18 - A Post Treatment Follow-up Study for Liver Disease Subjects With or Without Liver Cirrhosis After Receiving Emricasan or Placebo,Terminated,,40,,Ultrasound
NCT03513588,Pfizer,21-JUN-18,04-APR-19,Interventional,All randomized participants who received at least 1 dose of study treatment (PF-06865571 or placebo).,2-Week Study In People With Nonalcoholic Fatty Liver Disease,"A PHASE 1B, RANDOMIZED, DOUBLE-BLIND (SPONSOR-OPEN), PLACEBO-CONTROLLED, PARALLEL GROUP STUDY TO ASSESS THE SAFETY, TOLERABILITY, PHARMACODYNAMICS AND PHARMACOKINETICS OF MULTIPLE ORAL DOSES OF PF- 06865571 FOR 2 WEEKS IN ADULTS WITH NONALCOHOLIC FATTY LIVER DISEASE",Completed,Phase 1,48,3,Placebo|PF-06865571|PF-06865571
NCT03536650,"Fractyl Laboratories, Inc.",08-NOV-17,31-DEC-20,Interventional,,Effect of DMR in the Treatment of NASH,"Evaluation of Duodenal Mucosal Resurfacing (DMR) for the Treatment of Non Alcoholic Steatohepatitis (NASH), a Proof of Concept Study",Completed,Not Applicable,14,1,DMR
NCT03551522,"CymaBay Therapeutics, Inc.",30-APR-18,10-AUG-20,Interventional,,A Study to Evaluate Seladelpar in Subjects With Nonalcoholic Steatohepatitis (NASH),"A Phase 2, Double-Blind, Randomized, Placebo-Controlled Study Followed by an Open-Label Extension Period to Evaluate the Activity of Seladelpar in Subjects With Nonalcoholic Steatohepatitis (NASH)",Terminated,Phase 2,181,5,Seladelpar|Placebos|Seladelpar
NCT03332940,Navidea Biopharmaceuticals,06-DEC-17,10-MAR-19,Interventional,,An Evaluation of the Safety of Intravenous Tc 99m Tilmanocept and a Comparison of Imaging With Sulfur Colloid in Subjects With and Without NASH,An Evaluation of the Safety of Intravenous (IV) Tc 99m Tilmanocept and a Comparison of Localization to Tc 99m Sulfur Colloid in Subjects With Nonalcoholic Steatohepatitis (NASH) and Healthy Controls (HC),Completed,Phase 1,6,1,Tc 99M Sulfur Colloid|Tc99m-tilmanocept
NCT03350165,"Kowa Company, Ltd.",27-DEC-17,30-JUN-20,Interventional,,A Study of Pemafibrate in Patients With Nonalcoholic Fatty Liver Disease (NAFLD),"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel Group Study to Evaluate the Efficacy and Safety of Pemafibrate in Patients With Nonalcoholic Fatty Liver Disease.",Completed,Phase 2,118,2,K-877|Placebo
NCT03392779,"Guangdong Zhongsheng Pharmaceutical Co., Ltd.",05-JAN-18,22-MAR-19,Interventional,,"Study in Chinese Healthy Adults to Evaluate the Safety, Tolerability and Pharmacokinetics on ZSP1601, and the Effect of Food on ZSP1601 Pharmacokinetics","A Phase 1 Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Study to Evaluate the Safety, Tolerability and Pharmacokinetics of ZSP1601 and the Effect of Food on ZSP1601 Pharmacokinetics in Chinese Healthy Subjects.",Completed,Phase 1,94,9,ZSP1601 25 mg|Placebo 25mg|ZSP1601 50 mg|Placebo 50 mg|ZSP1601 100 mg|Placebo 100 mg|ZSP1601 175 mg|Placebo 175 mg|ZSP1601 275 mg|Placebo 275 mg|ZSP1601 350 mg|Placebo 350mg|ZSP1601 100 mg|Placebo 100mg|ZSP1601 50 mg|Placebo 50 mg|ZSP1601 100 mg|Placebo 100 mg
NCT03439254,Intercept Pharmaceuticals,30-AUG-17,31-AUG-22,Interventional,,Study Evaluating the Efficacy and Safety of Obeticholic Acid in Subjects With Compensated Cirrhosis Due to Nonalcoholic Steatohepatitis,"A Phase 3, Double-Blind, Randomized, Placebo-Controlled, Multicenter Study to Evaluate the Efficacy and Safety of Obeticholic Acid in Subjects With Compensated Cirrhosis Due to Nonalcoholic Steatohepatitis","Active, not recruiting",Phase 3,919,3,Obeticholic acid (10 mg)|Obeticholic acid (10 mg to 25 mg)|Placebo
NCT03421431,Enanta Pharmaceuticals|ICON Clinical Research,25-APR-18,10-JUL-19,Interventional,"Demographics were summarized for the Safety Population, which included all the randomized participants who received at least one dose of the study treatment.

The numbers of participants included in the Efficacy Population were same as the Safety Population.","A Study to Assess the Safety, Tolerability, Pharmacokinetics and Efficacy of EDP-305 in Subjects With Non-Alcoholic Steatohepatitis","A Phase 2 Dose Ranging, Randomized, Double Blind, and Placebo-Controlled Study Evaluating the Safety, Tolerability, Pharmacokinetics and Efficacy of EDP-305 in Subjects With Non-Alcoholic Steatohepatitis (NASH)",Completed,Phase 2,134,3,EDP-305 Dose 1|EDP-305 Dose 2|Placebo
NCT03437720,Sanofi,23-MAY-19,25-AUG-21,Interventional,,Assessment of the Safety and Effect of SAR425899 Versus Placebo for the Treatment of Non-alcoholic Fatty Liver Disease,"A 52-week Double-blind, Randomized, Placebo-controlled, Phase 2 Study to Assess the Efficacy and Safety of SAR425899 for the Treatment of Non-alcoholic Steatohepatitis (NASH)",Withdrawn,Phase 2,0,4,SAR425899|Placebo
NCT03445208,Bristol-Myers Squibb,14-FEB-18,02-MAY-18,Interventional,,A Study of Experimental Medication BMS-986036 Given to Healthy Participants,"An Open-Label, Single-Dose, Fixed-Sequence Crossover Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of BMS-986036 Administered to the Abdomen and Upper Arm in Healthy Participants",Completed,Phase 1,30,3,BMS-986036
NCT03610945,Enanta Pharmaceuticals,19-JUL-18,21-AUG-18,Interventional,,"Drug-drug Interaction Study Between EDP-305, Fluconazole and Quinidine in Healthy Volunteers","A Non-Randomized, Open-Label, Two-Part, Drug-Drug Interaction Study to Evaluate the Effects of Fluconazole and Quinidine on the Pharmacokinetics and Safety of EDP-305 in Healthy Volunteers",Completed,Phase 1,48,2,Fluconazole|Quinidine|EDP-305|EDP-305
NCT03449446,Gilead Sciences,21-MAR-18,19-NOV-19,Interventional,The Safety Analysis Set included all participants who took at least 1 dose of study drug.,"Study to Evaluate the Safety and Efficacy of Selonsertib, Firsocostat, Cilofexor, and Combinations in Participants With Bridging Fibrosis or Compensated Cirrhosis Due to Nonalcoholic Steatohepatitis (NASH)","A Phase 2, Randomized, Double-Blind, Placebo-Controlled Study Evaluating the Safety and Efficacy of Selonsertib, GS-0976, GS-9674, and Combinations in Subjects With Bridging (F3) Fibrosis or Compensated Cirrhosis (F4) Due to Nonalcoholic Steatohepatitis (NASH)",Completed,Phase 2,395,7,SEL|FIR|CILO|Placebo to match FIR|Placebo to match CILO|Placebo to match SEL
NCT03486912,Bristol-Myers Squibb,12-JUN-18,14-SEP-21,Interventional,,A Study of Experimental Medication BMS-986036 in Adults With Nonalcoholic Steatohepatitis (NASH) and Liver Cirrhosis,"A Phase 2B Randomized, Double-Blind, Placebo-Controlled Study Evaluating the Safety and Efficacy of BMS-986036 (PEG-FGF21) in Adults With Nonalcoholic Steatohepatitis (NASH) and Compensated Liver Cirrhosis",Completed,Phase 2,152,4,BMS-986036|Placebo
NCT03648554,Eli Lilly and Company,01-SEP-19,30-MAR-24,Interventional,,Researching an Effect of GLP-1 Agonist on Liver STeatosis (REALIST),A Multicentre Controlled and Randomized Study Assessing the Effect of Dulaglutide add-on to Dietary Reinforcement Versus Dietary Reinforcement Alone in Patients With Type 2 Diabetes and Carriers of a Non-alcoholic Steatohepatitis,Not yet recruiting,Phase 4,93,2,dulaglutide (TRULICITY®) 1.5 mg|reinforced dietary monitoring
NCT03664596,Eurasia Invest Ltd.,01-AUG-18,01-DEC-20,Interventional,,Therapeutic And Dietary Effects Of The Sublimated Mare's Milk Supplement In Patients With Non-Alcoholic Steatohepatitis,Evaluation Of The Therapeutic And Dietary Properties Of The Sublimated Mare's Milk Supplement In Patients With Non-Alcoholic Steatohepatitis,Completed,Not Applicable,80,3,Sublimated mare's milk|Ursodeoxycholic Acid
NCT03674528,Siemens Medical Solutions|GE Healthcare|Pfizer,04-MAY-18,01-MAY-23,Observational,,Technical Validation of MR Biomarkers of Obesity-Associated NAFLD,Technical Validation of Magnetic Resonance Biomarkers of Obesity-Associated Non-Alcoholic Fatty Liver Disease,Recruiting,,145,,Magnetic Resonance Elastography (MRE)|Liver biopsy
NCT03459079,Inventiva Pharma,14-AUG-18,30-APR-22,Interventional,,Lanifibranor in Patients With Type 2 Diabetes & Nonalcoholic Fatty Liver Disease,"Efficacy, Safety and Mechanism of Action of Lanifibranor (IVA337) in Patients With Type 2 Diabetes and Nonalcoholic Fatty Liver Disease",Recruiting,Phase 2,44,2,Lanifibranor|Placebo
NCT03486899,Bristol-Myers Squibb,19-JUN-18,17-AUG-21,Interventional,,A Study of Experimental Medication BMS-986036 in Adults With Nonalcoholic Steatohepatitis (NASH) and Stage 3 Liver Fibrosis,"A Phase 2B Randomized Double-Blind, Placebo-Controlled Study Evaluating the Safety and Efficacy of BMS-986036 (PEG-FGF21) in Adults With Nonalcoholic Steatohepatitis (NASH) and Stage 3 Liver Fibrosis",Completed,Phase 2,191,4,BMS-986036|Placebo
NCT03517540,Allergan|Novartis Pharmaceuticals,11-SEP-18,15-OCT-20,Interventional,"Full analysis set (FAS) - All participants to whom study treatment was assigned (excluding patients who were mis-randomized and did not take investigational drug. Mis-randomized participants were those who were not qualified for randomization but were inadvertently randomized into the study). Following the intent-to-treat (ITT) principle, patients were analyzed according to the treatment they had been assigned to at randomization.","Study of Safety, Tolerability, and Efficacy of a Combination Treatment of LJN452 and CVC in Adult Patients With NASH and Liver Fibrosis","A Randomized, Double-blind, Multicenter Study to Assess the Safety, Tolerability, and Efficacy of a Combination Treatment of Tropifexor (LJN452) and Cenicriviroc (CVC) in Adult Patients With Nonalcoholic Steatohepatitis (NASH) and Liver Fibrosis",Completed,Phase 2,193,4,Tropifexor (LJN452)|Cenicriviroc (CVC)
NCT03681457,Novartis Pharmaceuticals,24-SEP-18,25-SEP-19,Interventional,,"Evaluation of the Pharmacokinetics of Tropifexor in Subjects With Mild, Moderate, or Severe Hepatic Impairment Compared to Healthy Control Subjects","A Phase 1, Open-label, Single-dose, Multi-center, Parallel Group Study to Evaluate the Pharmacokinetics of Tropifexor (LJN452) in Subjects With Mild, Moderate or Severe Hepatic Impairment Compared to Healthy Control Subjects",Completed,Phase 1,42,4,LJN452
NCT03538236,ReShape Lifesciences,01-MAR-21,30-MAY-22,Interventional,,Intragastric Balloon With Lifestyle Intervention vs. Lifestyle Intervention in Obese Patients With NASH,Intragastric Balloon in Combination With Lifestyle Intervention vs. Lifestyle Intervention Alone in Obese Patients Having NASH With Significant Fibrosis,Withdrawn,Not Applicable,0,2,Intragastric balloon|Lifestyle intervention
NCT03617263,Zydus Therapeutics Inc.,04-DEC-18,31-MAR-23,Interventional,,Saroglitazar Magnesium 4 mg in the Treatment of NAFLD in Women With PCOS (EVIDENCES VII),"Phase 2A, Double-blind, Randomized, Controlled Clinical Trial to Evaluate the Efficacy and Safety of Saroglitazar Mg 4 mg Tablet Vs Placebo for Treating NAFLD in Women With Polycystic Ovary Syndrome (PCOS)",Recruiting,Phase 2,90,2,Saroglitazar Magnesium 4 mg Tablet|Placebo
NCT03744182,Hanmi Pharmaceutical Company Limited,01-NOV-18,18-MAR-20,Interventional,,A Study of Multiple Doses of HM15211 in Obese Subjects With NAFLD,"A Phase 1 Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Multiple Doses of HM15211 in Obese Subjects With NAFLD",Completed,Phase 1,66,2,HM15211|Placebo of HM15211
NCT03593343,Unilever R&D,08-JAN-19,13-JAN-20,Interventional,,Hepatic Glycogen and Fat Oxidation,The Effect of Modulating Hepatic Glycogen Content on Hepatic Fat Oxidation,Completed,Not Applicable,11,2,Overnight fasting duration
NCT03604016,IlDong Pharmaceutical Co Ltd,23-SEP-18,30-JUL-20,Interventional,,Study to Assess Efficacy of Besifovir and L-carnitine in Chronic Hepatitis B Patients With Nonalcoholic Fatty Liver,Pilot Study to Assess the Antiviral Activity and Safety of Besifovir Dipivoxil 150mg and L-carnitine 660mg Compared to Tenofovir Alafenamide 25mg in Chronic Hepatitis B Patients With Nonalcoholic Fatty Liver,Unknown status,Phase 4,76,2,Besifovir dipivoxil|L-carnitine|Tenofovir Alafenamide
NCT03625284,Algatechnologies Ltd.,10-SEP-18,10-DEC-19,Interventional,,Oral Dietary Fucoxanthin Rich Supplement for Liver Health,Oral Dietary Fucoxanthin Rich Supplement for Liver Health,Unknown status,Not Applicable,30,2,Placebo|FucoVital
NCT03627819,Unilever R&D|Raisio Group|BASF,04-MAY-18,31-DEC-19,Interventional,,Plant Sterols and Plant Stanols and Liver Inflammation,The Effects of Plant Sterol and Plant Stanol Ester Enriched Foods on Biopsy Proven Liver Inflammation in NAFLD Patients - a Proof-of-concept Pilot Study,Unknown status,Not Applicable,15,3,Plant sterol-enriched margarine|Plant stanol-enriched margarine|Control margarine
NCT03639623,Zydus Therapeutics Inc.,25-FEB-19,30-JUN-22,Interventional,,"Safety, Tolerability and Efficacy of Saroglitazar Mg 4 mg in Liver Transplant Recipients With NAFLD","A Phase 2A, Single Center, Open-label, Single-arm, 24-week Study to Evaluate the Safety, Tolerability and Efficacy of Saroglitazar Magnesium 4 mg in Liver Transplant Recipients With Nonalcoholic Fatty Liver Disease (EVIDENCES VIII)",Recruiting,Phase 2,15,1,Saroglitazar
NCT03868566,Sinew Pharma Inc.,04-AUG-17,31-DEC-21,Interventional,,"An Open-Label Study to Assess the Hepatic Protection Effect of SNP-612, in Patients With NAFLD","An Open-Label Study to Assess the Hepatic Protection Effect of a Food Supplement Product, SNP-612, in Patients With Non-alcoholic Fatty Liver Disease",Unknown status,Not Applicable,72,4,SNP-612 dose1|SNP-612 dose2|SNP-612 dose3|SNP-612 placebo
NCT03743272,Perspectum,03-JUN-17,01-NOV-22,Observational,,Repeatability and Reproducibility of Multiparametric MRI,Repeatability and Reproducibility of Multiparametric MRI (LiverMultiScan),Recruiting,,61,,LiverMultiScan
NCT03950882,Poxel SA,01-AUG-19,31-MAR-20,Interventional,,A Study to Assess the Pharmacokinetics of PXL770 After 4 Weeks of Treatment in Subjects With NAFLD,"A Randomized, Double-blind, Placebo-controlled Study to Assess the Pharmacokinetics of PXL770 After 4 Weeks of Treatment in Subjects With Non-alcoholic Fatty Liver Disease (NAFLD)",Completed,Phase 1,17,2,PXL770|Placebo
NCT03969719,Pfizer,18-JUL-19,30-MAR-21,Interventional,,A Double-blind Study to Assess 2 Doses of an Investigational Product for 16 Weeks in Participants With Non-alcoholic Fatty Liver Disease and Type 2 Diabetes Mellitus,"A PHASE 2A, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, 3-ARM, PARALLEL GROUP STUDY TO EVALUATE SAFETY, TOLERABILITY AND PHARMACODYNAMICS OF PF-06835919 ADMINISTERED DAILY FOR 16 WEEKS IN ADULTS WITH NON-ALCOHOLIC FATTY LIVER DISEASE AND TYPE 2 DIABETES MELLITUS ON METFORMIN",Completed,Phase 2,164,3,Placebo|PF-06835919|PF-06835919
NCT03976687,Enyo Pharma,11-JUN-19,25-MAY-20,Interventional,,"Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of EYP001a in Healthy Volunteers and Nonalcoholic Steatohepatitis Patients","A Phase 1b, Open-label Multiple Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of FXR Agonist/Modulator EYP001a in Healthy Volunteers and Nonalcoholic Steatohepatitis Patients",Completed,Phase 1,16,3,EYP001a
NCT03987074,Novo Nordisk A/S|Gilead Sciences,29-JUL-19,13-JUL-20,Interventional,The Safety Analysis Set included participants who received at least 1 dose of study drug.,"Safety, Tolerability, and Efficacy of Monotherapy and Combination Regimens in Participants With Nonalcoholic Steatohepatitis (NASH)","A Proof of Concept, Open-Label Study Evaluating the Safety, Tolerability, and Efficacy of Monotherapy and Combination Regimens in Subjects With Nonalcoholic Steatohepatitis (NASH)",Completed,Phase 2,109,5,Semaglutide|Firsocostat|Cilofexor
NCT04052516,NorthSea Therapeutics B.V.,17-JUL-19,30-JAN-23,Interventional,,A Phase 2b Study of Icosabutate in Fatty Liver Disease,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel Group Study of NST-4016 in Patients With Nonalcoholic Steatohepatitis (NASH)","Active, not recruiting",Phase 2,280,3,Icosabutate|Placebo
NCT03656744,HighTide Biopharma Pty Ltd,26-NOV-18,09-MAR-20,Interventional,"One-hundred one subjects were randomized into the study, however, subject did not receive investigational study drug and was not included in the efficacy or safety analyses data sets.",A Study of HTD1801 in Adults With Nonalcoholic Steatohepatitis (NASH) and Type 2 Diabetes Mellitus (T2DM),A Proof-of-Concept and Dose-Ranging Study Investigating the Efficacy and Safety of HTD1801 in Adults With NASH and T2DM,Completed,Phase 2,101,3,HTD1801|Placebo
NCT03674476,Bristol-Myers Squibb,11-SEP-18,24-JUN-19,Interventional,,An Investigational Study to Evaluate Experimental Medication BMS-986036 in Participants With Different Levels of Kidney Function,"A Phase 1, Open-Label, Parallel-Group, Single-Dose Study to Evaluate the Pharmacokinetics, Safety, and Tolerability of BMS-986036 in Participants With Varying Degrees of Renal Function",Completed,Phase 1,40,4,BMS-986036
NCT03676231,Second Genome,18-JAN-19,01-MAY-19,Interventional,,Study of SGM-1019 in Patients With Nonalcoholic Steatohepatitis (NASH),"A Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of SGM-1019 Administered for 12 Weeks in Subjects With F1-F3 Nonalcoholic Steatohepatitis (NASH)",Terminated,Phase 2,9,3,SGM-1019|Placebo
NCT03748628,Enanta Pharmaceuticals,05-OCT-18,13-OCT-18,Interventional,,"Absorption, Metabolism and Excretion (AME) Study of [14C]EDP-305 in Healthy Male Subjects","A Phase 1, Open-label Study of the Absorption, Metabolism, and Excretion of [14C]EDP-305 Following a Single Oral Dose in Healthy Male Subjects",Completed,Phase 1,8,1,EDP-305
NCT03776175,Pfizer,04-JAN-19,11-OCT-19,Interventional,Safety analysis population included all participants who received at least 1 dose of investigational product post-randomization.,"A Study To Assess Pharmacodynamics, Safety And Tolerability Of PF-05221304 And PF-06865571 Co-Administered For 6 Weeks In Adults With Non-Alcoholic Fatty Liver Disease.","A PHASE 2A, RANDOMIZED, DOUBLE BLIND (SPONSOR-OPEN), PLACEBO CONTROLLED, PARALLEL GROUP STUDY TO ASSESS THE PHARMACODYNAMICS, SAFETY AND TOLERABILITY OF PF-05221304 AND PF-06865571 CO-ADMINISTERED FOR 6 WEEKS IN ADULTS WITH NON-ALCOHOLIC FATTY LIVER DISEASE (NAFLD)",Completed,Phase 2,99,4,PF-05221304 Monotherapy|PF-06865571 Monotherapy|Placebo|PF-05221304 and PF-06865571 Combination
NCT03763877,Poxel SA,29-MAR-19,10-AUG-20,Interventional,"Intent to treat set (ITTS), defined as all as-randomized patients who received at least one dose of study treatment.",A Study of the Efficacy and Safety of PXL770 Versus Placebo After 12 Weeks of Treatment in Patients With NAFLD,"A Randomized, Double-blind, Placebo-controlled, Parallel Group Trial to Assess the Efficacy and Safety of PXL770 Versus Placebo After 12 Weeks of Treatment in Patients With NAFLD",Completed,Phase 2,121,4,PXL770|Placebo Oral Capsule
NCT03783897,Enanta Pharmaceuticals|Covance,27-NOV-18,18-JUN-19,Interventional,,A Drug-drug Interaction Study to Investigate the Effect of Coadministration of EDP-305 on the PK of a Combined Oral Contraceptive in Healthy Female Subjects,"A Phase 1, Open-label, Fixed-sequence Study to Investigate the Effects of EDP 305 on the Pharmacokinetics of a Combined Oral Contraceptive in Healthy Adult Female Subjects",Completed,Phase 1,43,1,EDP-305|Oral Contraceptive
NCT04104321,"Galmed Research and Development, Ltd.",23-SEP-19,30-JUN-27,Interventional,,A Clinical Study to Evaluate the Efficacy and Safety of Aramchol in Subjects With NASH (ARMOR),"A Phase 3, Multinational, Multicenter, Randomized, Double-Blind, Placebo-Controlled Clinical Study to Evaluate the Efficacy and Safety of Aramchol in Subjects With Nonalcoholic Steatohepatitis (NASH) With Open-Label Part to Evaluate the Safety, PK and Treatment Response Kinetics of Aramchol. The ARMOR Study",Recruiting,Phase 3,2000,2,Aramchol|Placebo
NCT04137055,"Guangdong Raynovent Biotech Co., Ltd",19-NOV-19,09-DEC-20,Interventional,,"Study in Chinese Healthy Adults to Evaluate the Safety, Tolerability and Pharmacokinetics on ZSP0678, and the Effect of Food on ZSP0678 Pharmacokinetics","A Phase 1 Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety, Tolerability and Pharmacokinetics of ZSP0678 and the Effect of Food on ZSP0678 Pharmacokinetics in Chinese Healthy Subjects.",Completed,Phase 1,104,11,ZSP0678-10mg|ZSP0678-30mg|ZSP0678-60mg|ZSP0678-120mg|ZSP0678-180mg|ZSP0678-240mg|ZSP0678-320mg|ZSP0678|ZSP0678-Dose 1|ZSP0678-Dose 2|ZSP0678-Dose 3|ZSP0678 Placebo
NCT03900429,"Madrigal Pharmaceuticals, Inc.",28-MAR-19,31-MAR-24,Interventional,,A Phase 3 Study to Evaluate the Efficacy and Safety of MGL-3196 (Resmetirom) in Patients With NASH and Fibrosis,"A Phase 3, Multinational, Double-Blind, Randomized, Placebo-Controlled Study of MGL-3196 (Resmetirom) in Patients With Non-Alcoholic Steatohepatitis (NASH) and Fibrosis to Resolve NASH and Reduce Progression to Cirrhosis and/or Hepatic Decompensation",Recruiting,Phase 3,2000,3,MGL-3196|Placebo
